transaction-type,amount,date
Deposit,100,2022-08-11 22:41:27
Deposit,200,2022-08-11 22:41:38
Deposit,22,2022-08-11 23:11:12
Deposit,200,2022-08-11 23:15:59
Withdraw,100,2022-08-11 23:16:02
Deposit,100,2022-08-11 23:17:54
Withdraw,55,2022-08-11 23:18:06
Withdraw,467,2022-08-11 23:19:55
Deposit,1000,2022-08-11 23:20:12
Withdraw,1000,2022-08-11 23:23:11
Deposit,100,2022-08-11 23:23:14
Withdraw,3,2022-08-11 23:23:23
Withdraw,97,2022-08-11 23:23:35
Withdraw,11,2022-08-11 23:23:40
Deposit,100,2022-08-11 23:24:34
Withdraw,89,2022-08-11 23:27:31
Deposit,100,2022-08-11 23:28:21
Withdraw,100,2022-08-11 23:28:23
Deposit,100,2022-08-11 23:29:12
Deposit,200,2022-08-11 23:29:23
Withdraw,50,2022-08-11 23:29:29
Deposit,100,2022-08-12 14:00:37
Withdraw,100,2022-08-12 14:00:51
Deposit,100,2022-08-16 02:11:01
Withdraw,100,2022-08-16 02:12:10
Deposit,100,2022-08-16 02:12:14
Withdraw,100,2022-08-16 02:13:30
Deposit,5,2022-08-16 02:16:18
Deposit,100,2022-08-16 02:16:40
Withdraw,100,2022-08-16 02:17:13
Deposit,100,2022-08-16 02:18:46
Withdraw,100,2022-08-16 02:18:48
Deposit,100,2022-08-16 02:19:21
Withdraw,100,2022-08-16 02:19:23
Deposit,100,2022-08-16 02:20:18
Withdraw,20,2022-08-16 02:20:21
Deposit,100,2022-08-16 02:20:38
Withdraw,20,2022-08-16 02:20:40
Deposit,100,2022-08-16 02:20:44
Withdraw,100,2022-08-16 02:20:47
